id,name,author,enrolls,description,image,link,overall_rating,catagory,platform,university,released_date,country,language,price,duration,certificate,material_type,added_by,num_of_reviews,num_of_ratings,image_mobile,total_ratings
983,Basics of Programming,David J. Malan,0,"Introduction to Computer Science from Harvard, better known as CS50, is the largest course on the Harvard campus and more than 2,000,000 learners worldwide have registered for the course on edX. We are excited to offer a series of introductory CS50 courses and Professional Certificate programs from Harvard that are open to learners of all backgrounds looking to explore computer science, mobile app and game development, business technologies, and the art of programming.",https://res.cloudinary.com/hire-easy/image/upload/v1662628874/cs50-logo_ltjltu.jpg,https://cs50.harvard.edu/x/2022/,7.0,Computer Science,cs50.harvard.edu,"",2022-09-08,India,English,0,4,true,Videos,Neesham,0,0,https://res.cloudinary.com/hire-easy/image/upload/v1662628874/cs50-logo_ltjltu.jpg,0
941,Learn Android Application Development,ProgramMe Programming,859689,A beginner course on Android Application development,https://img-c.udemycdn.com/course/240x135/1325686_e03b_3.jpg,https://www.udemy.com/course/learn-android-application-development-y/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1325686_e03b_3.jpg,0
944,Learn Python Language Fundamentals In Simple Way,DURGASOFT DURGA,445268,To Know Basics of Python and To Enter Python World Very Easily,https://img-c.udemycdn.com/course/240x135/2333118_2a97_5.jpg,https://www.udemy.com/course/learn-python-language-fundamentals-in-simple-way/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/2333118_2a97_5.jpg,0
172,Creative Problem Solving,University of Minnesota,140k,"","",https://www.coursera.org/search?query=Creative Problem Solving,4.3,Computer Science,Coursera,University of Minnesota,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
945,Learn Python for Total Beginners,Michael S Russell,761748,From newbie to pro in a day with 7 brain teasing exercises and full solutions provided.,https://img-c.udemycdn.com/course/240x135/1413516_9f4b_2.jpg,https://www.udemy.com/course/python-3-for-total-beginners/,3.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1413516_9f4b_2.jpg,0
181,Cybersecurity,"University of Maryland, College Park",99k,"","",https://www.coursera.org/search?query=Cybersecurity,4.5,Computer Science,Coursera,"University of Maryland, College Park",2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
182,Cybersecurity and Its Ten Domains,University System of Georgia,140k,"","",https://www.coursera.org/search?query=Cybersecurity and Its Ten Domains,4.2,Computer Science,Coursera,University System of Georgia,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
985,The Complete 2022 Web Development Bootcamp,Angela Yu,0,"Welcome to the Complete Web Development Bootcamp, the only course you need to learn to code and become a full-stack web developer. With 150,000+ ratings and a 4.8 average, my Web Development course is one of the HIGHEST RATED courses in the history of Udemy",https://res.cloudinary.com/hire-easy/image/upload/v1662629444/angela-Yu_a7tnj7.jpg,https://www.udemy.com/course/the-complete-web-development-bootcamp/,5.0,Computer Science,Udemy,"",2022-09-08,India,English,499,4,true,Videos,Neesham,0,0,https://res.cloudinary.com/hire-easy/image/upload/v1662629444/angela-Yu_a7tnj7.jpg,0
186,Data Analysis and Interpretation,Wesleyan University,100k,"","",https://www.coursera.org/search?query=Data Analysis and Interpretation,4.4,Computer Science,Coursera,Wesleyan University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
948,Linux Tutorials and Projects (Free),Jason Cannon,183119,"Free Tutorials Including Load Balancing, MySQL Replication, SSL Certificate Management and More.",https://img-c.udemycdn.com/course/240x135/1380080_97b2_4.jpg,https://www.udemy.com/course/linux-tutorials/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1380080_97b2_4.jpg,0
191,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,3k,"","",https://www.coursera.org/search?query=Data Engineering on Google Cloud Platform 日本語版,4.4,Computer Science,Coursera,Google Cloud,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
195,Data Mining,University of Illinois at Urbana-Champaign,140k,"","",https://www.coursera.org/search?query=Data Mining,4.4,Computer Science,Coursera,University of Illinois at Urbana-Champaign,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
196,Data Science,Johns Hopkins University,830k,"","",https://www.coursera.org/search?query=Data Science,4.5,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
197,Data Science Math Skills,Duke University,140k,"","",https://www.coursera.org/search?query=Data Science Math Skills,4.5,Computer Science,Coursera,Duke University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
